input_shapes,Hits,Samples,CPU time Us (sum)
"[[53,1,768],[768,3072]]",815740.74074074,1762,4964898148.1481
"[[120,1,3072],[3072,768]]",412500,891,4911976851.8519
"[[1,1001,1001],[1,1001,256]]",446759.25925926,965,4862723148.1481
"[[100,1,768],[100,1,768],[768,768]]",1690740.7407407,3652,4840951388.8889
"[[5,1,512],[512,2048]]",5423611.1111111,11715,4839720833.3333
"[[3,1,768],[768,768]]",10326851.851852,22306,4823383333.3333
"[[23,1,768],[768,3072]]",1329166.6666667,2871,4820137037.037
"[[123,1,3072],[3072,768]]",402314.81481481,869,4818048611.1111
"[[121,1,768],[768,3072]]",395833.33333333,855,4793871759.2593
"[[256,1,4096],[4096,1024]]",123148.14814815,266,4782977777.7778
