input_shapes,Hits,Samples,CPU time Us (sum)
"[[322,1,768],[322,1,768],[3072,768],[3072]]",58796.296296296,127,1513152314.8148
"[[5,1,128],[5,1,128],[2048,128],[2048]]",8458796.2962963,18271,1512095833.3333
"[[5,1,128],[5,1,2048],[128,2048],[128]]",8136574.0740741,17575,1509240740.7407
"[[41,3380],[512,3380],[512]]",477314.81481481,1031,1508139814.8148
"[[273,1,768],[273,1,768],[3072,768],[3072]]",68518.518518519,148,1504841203.7037
"[[23,6488],[768,6488],[768]]",175000,378,1501294907.4074
"[[249,1,768],[249,1,768],[3072,768],[3072]]",73148.148148148,158,1501000462.963
"[[329,1,768],[329,1,768],[3072,768],[3072]]",45370.37037037,98,1499592592.5926
"[[188,1,768],[188,1,3072],[768,3072],[768]]",89814.814814815,194,1499267592.5926
"[[254,1,768],[254,1,768],[3072,768],[3072]]",67592.592592593,146,1498861574.0741
"[[287,1,768],[287,1,768],[3072,768],[3072]]",49074.074074074,106,1495749074.0741
"[[328,1,768],[328,1,768],[3072,768],[3072]]",43055.555555556,93,1493125925.9259
"[[41,1,768],[41,1,3072],[768,3072],[768]]",283333.33333333,612,1490232870.3704
"[[36,1,768],[36,1,3072],[768,3072],[768]]",319907.40740741,691,1483891666.6667
"[[65,1,768],[65,1,512],[768,512],[768]]",1254166.6666667,2709,1483245370.3704
"[[37,1,768],[3072,768],[3072]]",289814.81481481,626,1482915740.7407
"[[],[],[1,256],[256,256],[256]]",41120833.333333,88821,1482823148.1481
"[[30,1,768],[3072,768],[3072]]",329629.62962963,712,1482696296.2963
"[[488,1,768],[488,1,3072],[768,3072],[768]]",38888.888888889,84,1478856944.4444
"[[252,1,768],[252,1,768],[3072,768],[3072]]",68981.481481481,149,1477340277.7778
"[[66,1,768],[66,1,512],[768,512],[768]]",1241203.7037037,2681,1475702777.7778
"[[202,1,768],[202,1,768],[3072,768],[3072]]",81018.518518519,175,1475098148.1481
"[[8,1,512],[8,1,512],[512,512],[512]]",5387962.962963,11638,1470689351.8519
"[[40,1,768],[3072,768],[3072]]",297685.18518519,643,1467905092.5926
"[[459,1,768],[459,1,3072],[768,3072],[768]]",39351.851851852,85,1466918055.5556
"[[1,768],[67,768],[67]]",28040277.777778,60567,1465574074.0741
"[[70,1,768],[512,768],[512]]",1181944.4444444,2553,1462617129.6296
"[[348,1,768],[348,1,768],[3072,768],[3072]]",38888.888888889,84,1458199537.037
"[[43,512],[3380,512],[3380]]",412037.03703704,890,1458066666.6667
"[[24,1,768],[24,1,768],[3072,768],[3072]]",407870.37037037,881,1452998611.1111
"[[39,1,768],[39,1,3072],[768,3072],[768]]",309259.25925926,668,1452334259.2593
"[[63,1,768],[512,768],[512]]",1247685.1851852,2695,1450083333.3333
"[[229,1,768],[229,1,768],[3072,768],[3072]]",73611.111111111,159,1449889351.8519
"[[267,1,768],[267,1,3072],[768,3072],[768]]",62500,135,1447178240.7407
"[[258,1,768],[258,1,3072],[768,3072],[768]]",64814.814814815,140,1444254629.6296
"[[62,1,768],[512,768],[512]]",1323148.1481481,2858,1442811574.0741
"[[20,6488],[768,6488],[768]]",201388.88888889,435,1442750925.9259
"[[306,1,768],[306,1,3072],[768,3072],[768]]",38425.925925926,83,1438413888.8889
"[[63,1,768],[3072,768],[3072]]",153703.7037037,332,1436218518.5185
"[[70,1,768],[70,1,512],[768,512],[768]]",1144444.4444444,2472,1435639351.8519
"[[23,1,768],[3072,768],[3072]]",379166.66666667,819,1435198611.1111
"[[18,768],[128,768],[128]]",10945370.37037,23642,1435175925.9259
"[[308,1,768],[308,1,3072],[768,3072],[768]]",48148.148148148,104,1431378240.7407
"[[52,1,768],[3072,768],[3072]]",222222.22222222,480,1430512962.963
"[[1,3854],[4096,3854],[4096]]",236111.11111111,510,1426350000
"[[404,1,768],[404,1,768],[3072,768],[3072]]",41203.703703704,89,1423549074.0741
"[[58,1,768],[58,1,512],[768,512],[768]]",1287037.037037,2780,1422543518.5185
"[[46,1,768],[3072,768],[3072]]",242129.62962963,523,1422374074.0741
"[[257,1,768],[257,1,768],[3072,768],[3072]]",62500,135,1419952777.7778
"[[2,1,3072],[768,3072],[768]]",871296.2962963,1882,1418782407.4074
"[[395,1,768],[395,1,768],[3072,768],[3072]]",39814.814814815,86,1418455092.5926
"[[207,1,768],[207,1,3072],[768,3072],[768]]",63425.925925926,137,1418195833.3333
"[[233,1,768],[233,1,768],[3072,768],[3072]]",54629.62962963,118,1417306944.4444
"[[240,1,768],[240,1,3072],[768,3072],[768]]",62962.962962963,136,1416736111.1111
"[[356,1,768],[356,1,768],[3072,768],[3072]]",32870.37037037,71,1416258796.2963
"[[44,512],[3380,512],[3380]]",426388.88888889,921,1414993055.5556
"[[246,1,768],[246,1,768],[3072,768],[3072]]",68055.555555556,147,1414367129.6296
"[[35,1,768],[3072,768],[3072]]",293981.48148148,635,1411697222.2222
"[[10,1,256],[768,256],[768]]",6349537.037037,13715,1408575925.9259
"[[71,1,768],[512,768],[512]]",1068055.5555556,2307,1407523148.1481
"[[283,1,768],[283,1,768],[3072,768],[3072]]",59722.222222222,129,1406286111.1111
"[[61,1,768],[61,1,512],[768,512],[768]]",1263425.9259259,2729,1405534722.2222
"[[64,1,768],[3072,768],[3072]]",175000,378,1402223611.1111
"[[2,1,512],[2,1,512],[512,512],[512]]",6325000,13662,1402177777.7778
"[[217,1,768],[217,1,768],[3072,768],[3072]]",70370.37037037,152,1402171759.2593
"[[434,1,768],[434,1,3072],[768,3072],[768]]",38888.888888889,84,1397136574.0741
"[[62,1,768],[62,1,512],[768,512],[768]]",1227314.8148148,2651,1393977314.8148
"[[40,1,768],[40,1,3072],[768,3072],[768]]",283796.2962963,613,1393768518.5185
"[[393,1,768],[393,1,3072],[768,3072],[768]]",41203.703703704,89,1383521759.2593
"[[212,1,768],[212,1,768],[3072,768],[3072]]",74074.074074074,160,1377268981.4815
"[[69,1,768],[69,1,512],[768,512],[768]]",1102777.7777778,2382,1374845370.3704
"[[9,1,256],[768,256],[768]]",6518518.5185185,14080,1373772685.1852
"[[281,1,768],[281,1,768],[3072,768],[3072]]",59259.259259259,128,1372862037.037
"[[60,1,768],[512,768],[512]]",1250000,2700,1370041666.6667
"[[370,1,768],[370,1,3072],[768,3072],[768]]",41666.666666667,90,1368990277.7778
"[[1,2048],[1,2048],[1]]",6353240.7407407,13723,1367997222.2222
"[[264,1,768],[264,1,3072],[768,3072],[768]]",65277.777777778,141,1366810185.1852
"[[16,1,768],[3072,768],[3072]]",423148.14814815,914,1365831481.4815
"[[65,1,768],[3072,768],[3072]]",163425.92592593,353,1363493055.5556
"[[67,1,768],[3072,768],[3072]]",168055.55555556,363,1363418518.5185
"[[14,1,768],[14,1,3072],[768,3072],[768]]",433333.33333333,936,1362482870.3704
"[[251,1,768],[251,1,768],[3072,768],[3072]]",51851.851851852,112,1361667129.6296
"[[59,1,768],[59,1,512],[768,512],[768]]",1163888.8888889,2514,1361300000
"[[230,1,768],[230,1,768],[3072,768],[3072]]",64814.814814815,140,1359897222.2222
"[[58,1,768],[512,768],[512]]",1287037.037037,2780,1358332407.4074
"[[237,1,768],[237,1,768],[3072,768],[3072]]",61574.074074074,133,1355511111.1111
"[[13,1,512],[2048,512],[2048]]",1082870.3703704,2339,1351058333.3333
"[[43,1,768],[43,1,3072],[768,3072],[768]]",268981.48148148,581,1351054629.6296
"[[261,1,768],[261,1,768],[3072,768],[3072]]",56481.481481481,122,1341904629.6296
"[[62,1,768],[3072,768],[3072]]",164814.81481481,356,1338170370.3704
"[[68,1,768],[68,1,512],[768,512],[768]]",1064351.8518519,2299,1337949074.0741
"[[72,1,768],[72,1,512],[768,512],[768]]",1040277.7777778,2247,1335972222.2222
"[[279,1,768],[279,1,3072],[768,3072],[768]]",54166.666666667,117,1335133796.2963
"[[80,1,768],[512,768],[512]]",989814.81481481,2138,1333657407.4074
"[[64,1,768],[512,768],[512]]",1124537.037037,2429,1332243055.5556
"[[276,1,768],[276,1,3072],[768,3072],[768]]",49537.037037037,107,1331943055.5556
"[[409,1,768],[409,1,3072],[768,3072],[768]]",41666.666666667,90,1331789351.8519
"[[13,1,768],[3072,768],[3072]]",441203.7037037,953,1331003240.7407
"[[1,512],[800,512],[800]]",13709259.259259,29612,1327980555.5556
"[[319,1,768],[319,1,3072],[768,3072],[768]]",43518.518518519,94,1327887500
"[[68,1,768],[512,768],[512]]",1109722.2222222,2397,1326934722.2222
"[[40,3380],[512,3380],[512]]",425925.92592593,920,1326835185.1852
"[[7,1,512],[7,1,512],[512,512],[512]]",5075462.962963,10963,1325540740.7407
"[[328,1,768],[328,1,3072],[768,3072],[768]]",48611.111111111,105,1324383796.2963
"[[48,1,768],[3072,768],[3072]]",216666.66666667,468,1322853240.7407
"[[231,1,768],[231,1,3072],[768,3072],[768]]",54629.62962963,118,1322219907.4074
"[[318,1,768],[318,1,3072],[768,3072],[768]]",47685.185185185,103,1321394907.4074
"[[],[],[1,6013],[768,6013],[768]]",680092.59259259,1469,1318076851.8519
"[[5,1,512],[1536,512],[1536]]",1974537.037037,4265,1317894444.4444
"[[81,1,768],[3072,768],[3072]]",131944.44444444,285,1317724537.037
"[[260,1,768],[260,1,768],[3072,768],[3072]]",60185.185185185,130,1317711574.0741
"[[80,1,768],[80,1,512],[768,512],[768]]",962037.03703704,2078,1317194444.4444
"[[67,1,768],[67,1,512],[768,512],[768]]",1101388.8888889,2379,1316319444.4444
"[[60,1,768],[3072,768],[3072]]",196759.25925926,425,1312033796.2963
"[[211,1,768],[211,1,768],[3072,768],[3072]]",67592.592592593,146,1310348611.1111
"[[330,1,768],[330,1,3072],[768,3072],[768]]",43981.481481481,95,1308668981.4815
"[[221,1,768],[221,1,768],[3072,768],[3072]]",66666.666666667,144,1306706944.4444
"[[1,22,4096],[1024,4096],[1024]]",193981.48148148,419,1304938425.9259
"[[259,1,768],[259,1,768],[3072,768],[3072]]",60185.185185185,130,1303029166.6667
"[[27,1,768],[3072,768],[3072]]",321759.25925926,695,1302467592.5926
"[[345,1,768],[345,1,3072],[768,3072],[768]]",44444.444444444,96,1301805092.5926
"[[17,1,768],[3072,768],[3072]]",431944.44444444,933,1299836111.1111
"[[5,1,2048],[512,2048],[512]]",1482407.4074074,3202,1297737962.963
"[[302,1,768],[302,1,768],[3072,768],[3072]]",48611.111111111,105,1296706944.4444
"[[1,67,1024],[4096,1024],[4096]]",58333.333333333,126,1294579629.6296
"[[286,1,768],[286,1,3072],[768,3072],[768]]",52777.777777778,114,1294571296.2963
"[[29,1,768],[3072,768],[3072]]",306481.48148148,662,1292673611.1111
"[[29,1,768],[29,1,768],[3072,768],[3072]]",306944.44444444,663,1292485648.1481
"[[22,1,768],[3072,768],[3072]]",358333.33333333,774,1292460185.1852
"[[67,1,3072],[768,3072],[768]]",131018.51851852,283,1292275925.9259
"[[47,1,768],[3072,768],[3072]]",236574.07407407,511,1290644907.4074
"[[71,1,768],[71,1,512],[768,512],[768]]",979629.62962963,2116,1289973611.1111
"[[74,1,768],[74,1,512],[768,512],[768]]",981018.51851852,2119,1289237500
"[[356,1,768],[356,1,3072],[768,3072],[768]]",35185.185185185,76,1288152314.8148
"[[278,1,768],[278,1,768],[3072,768],[3072]]",55555.555555556,120,1287956018.5185
"[[197,1,768],[197,1,768],[3072,768],[3072]]",71296.296296296,154,1287945833.3333
"[[10,1,512],[10,1,2048],[512,2048],[512]]",1147222.2222222,2478,1287010648.1481
"[[275,1,768],[275,1,768],[3072,768],[3072]]",56018.518518519,121,1284047685.1852
"[[77,1,768],[3072,768],[3072]]",149537.03703704,323,1281555092.5926
"[[309,1,768],[309,1,768],[3072,768],[3072]]",46759.259259259,101,1281073611.1111
"[[45,1,768],[3072,768],[3072]]",227314.81481481,491,1278765277.7778
"[[79,1,768],[3072,768],[3072]]",118518.51851852,256,1278593981.4815
"[[264,1,768],[264,1,768],[3072,768],[3072]]",54629.62962963,118,1276841203.7037
"[[75,1,768],[512,768],[512]]",932407.40740741,2014,1274345833.3333
"[[19,1,768],[2304,768],[2304]]",475000,1026,1270359259.2593
"[[201,1,768],[201,1,768],[3072,768],[3072]]",68981.481481481,149,1269357407.4074
"[[270,1,768],[270,1,3072],[768,3072],[768]]",54629.62962963,118,1268593518.5185
"[[78,1,768],[512,768],[512]]",929629.62962963,2008,1268495370.3704
"[[128,1,2048],[512,2048],[512]]",207870.37037037,449,1267991666.6667
"[[33,1,768],[33,1,3072],[768,3072],[768]]",307407.40740741,664,1266365277.7778
"[[33,1,768],[3072,768],[3072]]",269444.44444444,582,1263423611.1111
"[[2,1,768],[2304,768],[2304]]",962037.03703704,2078,1262138888.8889
"[[292,1,768],[292,1,3072],[768,3072],[768]]",49537.037037037,107,1259581018.5185
"[[38,1,768],[38,1,3072],[768,3072],[768]]",258333.33333333,558,1258820370.3704
"[[1,2048],[928,2048],[928]]",2185648.1481481,4721,1257475462.963
"[[18,1,768],[2304,768],[2304]]",550000,1188,1255462500
"[[382,1,768],[382,1,3072],[768,3072],[768]]",42129.62962963,91,1252120370.3704
"[[69,1,768],[512,768],[512]]",1010648.1481481,2183,1251256944.4444
"[[261,1,768],[261,1,3072],[768,3072],[768]]",56481.481481481,122,1248964351.8519
"[[18,128],[6080,128],[6080]]",1150462.962963,2485,1248802777.7778
"[[305,1,768],[305,1,768],[3072,768],[3072]]",46759.259259259,101,1247770370.3704
"[[257,1,1024],[3072,1024],[3072]]",47685.185185185,103,1246279629.6296
"[[73,1,768],[73,1,512],[768,512],[768]]",933333.33333333,2016,1245938888.8889
"[[391,1,768],[391,1,768],[3072,768],[3072]]",39351.851851852,85,1240252777.7778
"[[51,1,768],[3072,768],[3072]]",180555.55555556,390,1235744907.4074
"[[313,1,768],[313,1,3072],[768,3072],[768]]",49074.074074074,106,1235059259.2593
"[[248,1,768],[248,1,3072],[768,3072],[768]]",48148.148148148,104,1233434722.2222
"[[38,1,768],[3072,768],[3072]]",233333.33333333,504,1230857407.4074
"[[309,1,768],[309,1,3072],[768,3072],[768]]",45833.333333333,99,1228423148.1481
"[[313,1,768],[313,1,768],[3072,768],[3072]]",48148.148148148,104,1225370370.3704
"[[24,1,768],[2304,768],[2304]]",450000,972,1222029166.6667
"[[21,1,768],[21,1,768],[768,768],[768]]",1483796.2962963,3205,1221727777.7778
"[[17,128],[6720,128],[6720]]",836111.11111111,1806,1221462500
"[[50,1,768],[50,1,3072],[768,3072],[768]]",189351.85185185,409,1220784259.2593
"[[78,1,768],[78,1,512],[768,512],[768]]",883333.33333333,1908,1219133796.2963
"[[63,1,768],[63,1,512],[768,512],[768]]",1028240.7407407,2221,1218993518.5185
"[[38,1,768],[2304,768],[2304]]",306944.44444444,663,1216519907.4074
"[[1,27,4096],[1024,4096],[1024]]",159722.22222222,345,1213878240.7407
"[[],[],[1,4696],[500,4696],[500]]",1706481.4814815,3686,1212061111.1111
"[[310,1,768],[310,1,768],[3072,768],[3072]]",43981.481481481,95,1209729629.6296
"[[477,1,768],[477,1,768],[3072,768],[3072]]",27777.777777778,60,1209114351.8519
"[[76,1,768],[512,768],[512]]",936111.11111111,2022,1208943981.4815
"[[262,1,768],[262,1,768],[3072,768],[3072]]",53703.703703704,116,1207197685.1852
"[[74,1,768],[512,768],[512]]",947222.22222222,2046,1207012500
"[[1,32,4096],[1024,4096],[1024]]",147222.22222222,318,1206494444.4444
"[[84,1,768],[84,1,512],[768,512],[768]]",804166.66666667,1737,1206078240.7407
"[[216,1,768],[216,1,768],[3072,768],[3072]]",63888.888888889,138,1205968981.4815
"[[90,1,768],[90,1,512],[768,512],[768]]",814351.85185185,1759,1205767129.6296
"[[79,1,768],[512,768],[512]]",890740.74074074,1924,1203652314.8148
"[[61,1,768],[512,768],[512]]",1084722.2222222,2343,1202532870.3704
"[[352,1,768],[352,1,3072],[768,3072],[768]]",40740.740740741,88,1202050000
"[[84,1,768],[512,768],[512]]",818981.48148148,1769,1200933796.2963
"[[55,1,768],[3072,768],[3072]]",171296.2962963,370,1193802314.8148
"[[492,1,768],[492,1,768],[3072,768],[3072]]",27777.777777778,60,1193087500
"[[1,37,1024],[4096,1024],[4096]]",105555.55555556,228,1191617129.6296
"[[12,1,768],[3072,768],[3072]]",406018.51851852,877,1190108333.3333
"[[295,1,768],[295,1,3072],[768,3072],[768]]",38425.925925926,83,1189943055.5556
"[[9,1,128],[384,128],[384]]",18975462.962963,40987,1186432407.4074
"[[39,1,768],[3072,768],[3072]]",228703.7037037,494,1186396759.2593
"[[227,1,768],[227,1,3072],[768,3072],[768]]",53703.703703704,116,1186003240.7407
"[[340,1,768],[340,1,768],[3072,768],[3072]]",43518.518518519,94,1184244907.4074
"[[284,1,768],[284,1,3072],[768,3072],[768]]",49074.074074074,106,1183559259.2593
"[[293,1,768],[293,1,768],[3072,768],[3072]]",50000,108,1183340740.7407
"[[312,1,768],[312,1,3072],[768,3072],[768]]",45370.37037037,98,1183251851.8519
"[[72,1,768],[512,768],[512]]",947222.22222222,2046,1178237037.037
"[[291,1,768],[291,1,768],[3072,768],[3072]]",46759.259259259,101,1178024537.037
"[[21,1,768],[3072,768],[3072]]",354629.62962963,766,1177568518.5185
"[[28,1,768],[3072,768],[3072]]",250000,540,1174214814.8148
"[[419,1,768],[419,1,768],[3072,768],[3072]]",32407.407407407,70,1173944907.4074
"[[288,1,768],[288,1,768],[3072,768],[3072]]",47685.185185185,103,1171880092.5926
"[[34,1,768],[2304,768],[2304]]",319444.44444444,690,1171688888.8889
"[[73,1,768],[512,768],[512]]",887037.03703704,1916,1169750925.9259
"[[49,1,768],[49,1,768],[3072,768],[3072]]",188425.92592593,407,1168757407.4074
"[[24,1,768],[3072,768],[3072]]",284259.25925926,614,1168593518.5185
"[[25,1,768],[25,1,768],[3072,768],[3072]]",316203.7037037,683,1167845833.3333
"[[280,1,768],[280,1,768],[3072,768],[3072]]",50462.962962963,109,1167822685.1852
"[[15,128],[6080,128],[6080]]",1162037.037037,2510,1167367129.6296
"[[1,356],[1068,356],[1068]]",11886574.074074,25675,1167229629.6296
"[[351,1,768],[351,1,768],[3072,768],[3072]]",40740.740740741,88,1166829166.6667
"[[449,1,768],[449,1,768],[3072,768],[3072]]",27777.777777778,60,1166255092.5926
"[[268,1,768],[268,1,768],[3072,768],[3072]]",50462.962962963,109,1164442592.5926
"[[251,1,768],[251,1,3072],[768,3072],[768]]",53240.740740741,115,1163666203.7037
"[[9,1,512],[9,1,512],[512,512],[512]]",4331944.4444444,9357,1163306944.4444
"[[56,1,768],[512,768],[512]]",1117592.5925926,2414,1161090277.7778
"[[81,1,768],[81,1,512],[768,512],[768]]",853703.7037037,1844,1160320833.3333
"[[421,1,768],[421,1,768],[3072,768],[3072]]",29629.62962963,64,1157590740.7407
"[[56,1,768],[56,1,512],[768,512],[768]]",1062037.037037,2294,1157482407.4074
"[[87,1,768],[3072,768],[3072]]",107407.40740741,232,1156963425.9259
"[[9,1,768],[3072,768],[3072]]",483333.33333333,1044,1156768055.5556
"[[44,1,768],[44,1,3072],[768,3072],[768]]",208333.33333333,450,1154016666.6667
"[[1,18,4096],[1024,4096],[1024]]",177314.81481481,383,1153142129.6296
"[[301,1,768],[301,1,3072],[768,3072],[768]]",35648.148148148,77,1151757870.3704
"[[82,1,768],[512,768],[512]]",845833.33333333,1827,1151245833.3333
"[[82,1,768],[82,1,512],[768,512],[768]]",824074.07407407,1780,1151230555.5556
"[[18,1,768],[18,1,3072],[768,3072],[768]]",345833.33333333,747,1148562500
"[[326,1,768],[326,1,3072],[768,3072],[768]]",40740.740740741,88,1147960185.1852
"[[1,1,100],[1368,100],[1368]]",21485648.148148,46409,1147458333.3333
"[[12,1,2048],[512,2048],[512]]",987962.96296296,2134,1146854166.6667
"[[1,180],[1,180],[1]]",150283333.33333,324612,1145381481.4815
"[[238,1,768],[238,1,3072],[768,3072],[768]]",50462.962962963,109,1145137962.963
"[[377,1,768],[377,1,768],[3072,768],[3072]]",29629.62962963,64,1141326851.8519
"[[287,1,768],[287,1,3072],[768,3072],[768]]",45370.37037037,98,1140493981.4815
"[[65,1,768],[512,768],[512]]",952314.81481481,2057,1140323148.1481
"[[346,1,768],[346,1,768],[3072,768],[3072]]",38425.925925926,83,1140100000
"[[16,1,512],[2048,512],[2048]]",829629.62962963,1792,1139258796.2963
"[[18,1,768],[3072,768],[3072]]",354166.66666667,765,1137704166.6667
"[[256,2,768],[3072,768],[3072]]",13425.925925926,29,1137663425.9259
"[[236,1,768],[236,1,768],[3072,768],[3072]]",50000,108,1136131481.4815
"[[20,1,768],[2304,768],[2304]]",441203.7037037,953,1136118518.5185
"[[59,1,768],[512,768],[512]]",1065277.7777778,2301,1133939814.8148
"[[272,1,768],[272,1,768],[3072,768],[3072]]",52314.814814815,113,1132682407.4074
"[[1,28,1024],[4096,1024],[4096]]",150462.96296296,325,1131697222.2222
"[[431,1,768],[431,1,3072],[768,3072],[768]]",30092.592592593,65,1129215277.7778
"[[255,1,300],[1024,300],[1024]]",296759.25925926,641,1128307870.3704
"[[465,1,768],[465,1,3072],[768,3072],[768]]",29166.666666667,63,1127833796.2963
"[[34,1,768],[3072,768],[3072]]",232407.40740741,502,1127237037.037
"[[5,3125],[384,3125],[384]]",1131481.4814815,2444,1126618518.5185
"[[14,1,512],[1536,512],[1536]]",1136111.1111111,2454,1124301851.8519
"[[133,1,300],[512,300],[512]]",1050925.9259259,2270,1123902314.8148
"[[12,1,768],[2304,768],[2304]]",509722.22222222,1101,1117977314.8148
"[[76,1,768],[76,1,512],[768,512],[768]]",848611.11111111,1833,1115918981.4815
"[[10,1,768],[3072,768],[3072]]",433796.2962963,937,1115277777.7778
"[[15,768],[128,768],[128]]",9008796.2962963,19459,1114150925.9259
"[[41,512],[3380,512],[3380]]",345833.33333333,747,1113450000
"[[89,1,768],[512,768],[512]]",708333.33333333,1530,1112248611.1111
"[[497,1,768],[497,1,3072],[768,3072],[768]]",26388.888888889,57,1111164351.8519
"[[87,1,768],[512,768],[512]]",699537.03703704,1511,1110598148.1481
"[[16,864],[768,864],[768]]",1648148.1481481,3560,1109808796.2963
"[[1,768,51],[128,51],[]]",4837962.962963,10450,1109363888.8889
"[[17,260,96],[1,96],[]]",4124074.0740741,8908,1108856944.4444
"[[231,1,768],[231,1,768],[3072,768],[3072]]",44444.444444444,96,1108381481.4815
"[[15,1,512],[2048,512],[2048]]",868055.55555556,1875,1108269444.4444
"[[53,1,768],[3072,768],[3072]]",180555.55555556,390,1108011574.0741
"[[81,1,768],[512,768],[512]]",817129.62962963,1765,1107496759.2593
"[[13,1,768],[13,1,3072],[768,3072],[768]]",391666.66666667,846,1105794907.4074
"[[1,64],[64,64],[64]]",94279629.62963,203644,1105005555.5556
"[[213,1,768],[213,1,768],[3072,768],[3072]]",56944.444444444,123,1104959259.2593
"[[444,1,768],[444,1,3072],[768,3072],[768]]",28240.740740741,61,1104823611.1111
"[[11,1,768],[3072,768],[3072]]",402777.77777778,870,1103706944.4444
"[[86,1,768],[512,768],[512]]",756018.51851852,1633,1103331481.4815
"[[265,1,768],[265,1,3072],[768,3072],[768]]",48611.111111111,105,1102457870.3704
"[[453,1,768],[453,1,768],[3072,768],[3072]]",27314.814814815,59,1100317129.6296
"[[18,1,96],[18,260,96],[96,96],[]]",509722.22222222,1101,1098706944.4444
"[[77,1,768],[77,1,512],[768,512],[768]]",802314.81481481,1733,1098238425.9259
"[[267,1,768],[267,1,768],[3072,768],[3072]]",47222.222222222,102,1097642129.6296
"[[57,1,768],[3072,768],[3072]]",162962.96296296,352,1096136574.0741
"[[293,1,768],[293,1,3072],[768,3072],[768]]",41666.666666667,90,1094480555.5556
"[[18,260,96],[18,260,96],[96,96],[]]",582870.37037037,1259,1093409722.2222
"[[47,1,768],[47,1,3072],[768,3072],[768]]",209259.25925926,452,1093301388.8889
"[[69,1,768],[3072,768],[3072]]",137037.03703704,296,1093231944.4444
"[[225,1,768],[225,1,3072],[768,3072],[768]]",50925.925925926,110,1092087037.037
"[[7,1,512],[7,1,2048],[512,2048],[512]]",1065277.7777778,2301,1091952314.8148
"[[13,1,512],[1536,512],[1536]]",1156018.5185185,2497,1091774537.037
"[[257,1,768],[257,1,3072],[768,3072],[768]]",48148.148148148,104,1090953240.7407
"[[106,1,768],[3072,768],[3072]]",97685.185185185,211,1089495370.3704
"[[360,1,768],[360,1,768],[3072,768],[3072]]",33796.296296296,73,1089129629.6296
"[[25,1,768],[2304,768],[2304]]",354629.62962963,766,1088463888.8889
"[[92,1,768],[512,768],[512]]",705092.59259259,1523,1081327314.8148
"[[128,1,512],[2048,512],[2048]]",179166.66666667,387,1079583796.2963
"[[50,1,768],[3072,768],[3072]]",159722.22222222,345,1078525925.9259
"[[16,1,768],[16,1,3072],[768,3072],[768]]",375000,810,1077895833.3333
"[[86,1,768],[3072,768],[3072]]",104166.66666667,225,1075924074.0741
"[[383,1,768],[383,1,3072],[768,3072],[768]]",29629.62962963,64,1075788888.8889
"[[1,20,1024],[1024,1024],[1024]]",651851.85185185,1408,1074409259.2593
"[[15,1,512],[1536,512],[1536]]",1068518.5185185,2308,1074019907.4074
"[[279,1,768],[279,1,768],[3072,768],[3072]]",42592.592592593,92,1073999074.0741
"[[99,1,768],[2304,768],[2304]]",105092.59259259,227,1071306481.4815
"[[77,1,768],[512,768],[512]]",792592.59259259,1712,1070970370.3704
"[[86,1,768],[86,1,512],[768,512],[768]]",730092.59259259,1577,1069130555.5556
"[[74,1,768],[3072,768],[3072]]",109722.22222222,237,1069085185.1852
"[[14,1,768],[3072,768],[3072]]",359722.22222222,777,1068414351.8519
"[[91,1,768],[512,768],[512]]",662962.96296296,1432,1067731018.5185
"[[256,1,1024],[256,1,1024],[1024,1024],[1024]]",112962.96296296,244,1067468055.5556
"[[274,1,768],[274,1,768],[3072,768],[3072]]",44444.444444444,96,1066791666.6667
"[[239,1,768],[239,1,3072],[768,3072],[768]]",50462.962962963,109,1064484722.2222
"[[11,1,768],[11,1,3072],[768,3072],[768]]",395833.33333333,855,1064192592.5926
"[[14,1,768],[2304,768],[2304]]",455555.55555556,984,1062080092.5926
"[[42,512],[3380,512],[3380]]",334722.22222222,723,1060014351.8519
"[[294,1,768],[294,1,3072],[768,3072],[768]]",37500,81,1057667592.5926
"[[243,1,768],[243,1,768],[3072,768],[3072]]",51388.888888889,111,1056719444.4444
"[[311,1,768],[311,1,3072],[768,3072],[768]]",39351.851851852,85,1055456018.5185
"[[129,1,768],[3072,768],[3072]]",75462.962962963,163,1055388888.8889
"[[14,1,512],[2048,512],[2048]]",786574.07407407,1699,1055194444.4444
"[[17,1,768],[17,1,3072],[768,3072],[768]]",356481.48148148,770,1052493518.5185
"[[13,1,768],[2304,768],[2304]]",493518.51851852,1066,1052358333.3333
"[[116,1,768],[3072,768],[3072]]",94444.444444444,204,1050331944.4444
"[[509,1,768],[509,1,768],[3072,768],[3072]]",15277.777777778,33,1048073611.1111
"[[215,1,768],[215,1,768],[3072,768],[3072]]",52314.814814815,113,1047487500
"[[299,1,768],[299,1,3072],[768,3072],[768]]",38888.888888889,84,1047052777.7778
"[[241,1,768],[241,1,768],[3072,768],[3072]]",47685.185185185,103,1046465277.7778
"[[59,1,768],[3072,768],[3072]]",131481.48148148,284,1044127777.7778
"[[28,1,768],[28,1,768],[3072,768],[3072]]",250462.96296296,541,1042649074.0741
"[[75,1,768],[75,1,512],[768,512],[768]]",809722.22222222,1749,1042510185.1852
"[[26,1,768],[26,1,768],[3072,768],[3072]]",241203.7037037,521,1042211574.0741
"[[61,1,768],[3072,768],[3072]]",153240.74074074,331,1041843981.4815
"[[14,1,1024],[3072,1024],[3072]]",127314.81481481,275,1041503703.7037
"[[422,1,768],[422,1,3072],[768,3072],[768]]",29166.666666667,63,1040817129.6296
