input_shapes,Hits,Samples,CPU time Us (sum)
"[[16,952],[128,952],[128]]",24079629.62963,52012,4045076388.8889
"[[168,1,768],[168,1,3072],[768,3072],[768]]",241203.7037037,521,3966804166.6667
"[[146,1,768],[146,1,3072],[768,3072],[768]]",259259.25925926,560,3947522685.1852
"[[152,1,768],[152,1,3072],[768,3072],[768]]",271296.2962963,586,3943518055.5556
"[[16,1,96],[16,260,96],[96,96],[]]",2056018.5185185,4441,3932587500
"[[112,1,768],[112,1,768],[3072,768],[3072]]",373611.11111111,807,3920338425.9259
"[[129,1,1024],[256,1024],[256]]",2556481.4814815,5522,3912027314.8148
"[[17,946],[384,946],[384]]",8286111.1111111,17898,3885463425.9259
"[[119,1,768],[119,1,3072],[768,3072],[768]]",335648.14814815,725,3877588888.8889
"[[512,1,3072],[768,3072],[768]]",87037.037037037,188,3876896296.2963
"[[1,384],[1536,384],[1536]]",28093055.555556,60681,3866403240.7407
"[[136,1,768],[136,1,3072],[768,3072],[768]]",290277.77777778,627,3846688888.8889
"[[1,1,300],[512,300],[512]]",54010648.148148,116663,3845269444.4444
"[[17,128],[6080,128],[6080]]",3430555.5555556,7410,3828555555.5556
"[[7,1,512],[1536,512],[1536]]",5102314.8148148,11021,3817324074.0741
"[[111,1,768],[111,1,768],[3072,768],[3072]]",329629.62962963,712,3812099537.037
"[[143,1,768],[143,1,3072],[768,3072],[768]]",246759.25925926,533,3795697222.2222
"[[126,1,768],[126,1,3072],[768,3072],[768]]",289351.85185185,625,3794730555.5556
"[[512,1,768],[3072,768],[3072]]",87500,189,3775675462.963
"[[46,3380],[512,3380],[512]]",1090740.7407407,2356,3755286574.0741
"[[53,1,768],[53,1,3072],[768,3072],[768]]",651388.88888889,1407,3744047222.2222
"[[256,1,1024],[4096,1024],[4096]]",106018.51851852,229,3738041666.6667
"[[130,1,768],[130,1,3072],[768,3072],[768]]",291666.66666667,630,3737708333.3333
"[[134,1,768],[134,1,3072],[768,3072],[768]]",275925.92592593,596,3728570370.3704
"[[133,1,768],[133,1,3072],[768,3072],[768]]",275925.92592593,596,3719091203.7037
"[[123,1,768],[123,1,768],[3072,768],[3072]]",296296.2962963,640,3704962500
"[[20,1,768],[20,1,3072],[768,3072],[768]]",1118518.5185185,2416,3700529166.6667
"[[116,1,768],[116,1,768],[3072,768],[3072]]",322685.18518519,697,3687317129.6296
"[[128,1,768],[128,1,768],[3072,768],[3072]]",293055.55555556,633,3677145833.3333
"[[5,6488],[768,6488],[768]]",854166.66666667,1845,3674447222.2222
"[[117,1,768],[117,1,3072],[768,3072],[768]]",302777.77777778,654,3666674074.0741
"[[4,6488],[768,6488],[768]]",887037.03703704,1916,3660875925.9259
"[[158,1,768],[158,1,768],[3072,768],[3072]]",224074.07407407,484,3654466203.7037
"[[52,1,768],[512,768],[512]]",3583796.2962963,7741,3643239351.8519
"[[147,1,768],[147,1,3072],[768,3072],[768]]",247685.18518519,535,3633867129.6296
"[[151,1,768],[151,1,768],[3072,768],[3072]]",236574.07407407,511,3633094444.4444
"[[125,1,768],[125,1,768],[3072,768],[3072]]",292592.59259259,632,3612198611.1111
"[[127,1,768],[127,1,3072],[768,3072],[768]]",290740.74074074,628,3593093055.5556
"[[16,2,1],[16,2,1],[16,384],[256,384],[256]]",26852314.814815,58001,3581537962.963
"[[16,260,96],[16,260,96],[96,96],[]]",1982870.3703704,4283,3570459259.2593
"[[118,1,768],[118,1,3072],[768,3072],[768]]",293518.51851852,634,3557516203.7037
"[[256,1,256],[256,1,1024],[256,1024],[256]]",1141203.7037037,2465,3554650462.963
"[[120,1,768],[120,1,768],[3072,768],[3072]]",311111.11111111,672,3544611574.0741
"[[6,6488],[768,6488],[768]]",828703.7037037,1790,3538662962.963
"[[182,1,768],[182,1,3072],[768,3072],[768]]",194444.44444444,420,3533931018.5185
"[[6,1,512],[2048,512],[2048]]",3791203.7037037,8189,3526302314.8148
"[[129,1,256],[1024,256],[1024]]",2410648.1481481,5207,3513900000
"[[137,1,768],[137,1,3072],[768,3072],[768]]",264814.81481481,572,3500972222.2222
"[[22,1,768],[22,1,3072],[768,3072],[768]]",1048611.1111111,2265,3500325462.963
"[[45,3380],[512,3380],[512]]",1044444.4444444,2256,3497665277.7778
"[[138,1,768],[138,1,768],[3072,768],[3072]]",277314.81481481,599,3491665277.7778
"[[150,1,768],[150,1,3072],[768,3072],[768]]",231944.44444444,501,3491430092.5926
"[[155,1,768],[155,1,3072],[768,3072],[768]]",235185.18518519,508,3487065740.7407
"[[1,256],[180,256],[180]]",161788425.92593,349463,3474414814.8148
"[[16,2,1],[16,384],[256,384],[256]]",26047222.222222,56262,3473917592.5926
"[[16,7144],[768,7144],[768]]",513425.92592593,1109,3467522222.2222
"[[115,1,768],[115,1,768],[3072,768],[3072]]",295833.33333333,639,3447319444.4444
"[[9,1,256],[9,1,2048],[256,2048],[256]]",6873148.1481481,14846,3423132407.4074
"[[118,1,768],[118,1,768],[3072,768],[3072]]",300462.96296296,649,3406839814.8148
"[[28,6488],[768,6488],[768]]",398148.14814815,860,3396120833.3333
"[[147,1,768],[147,1,768],[3072,768],[3072]]",241203.7037037,521,3394804629.6296
"[[133,1,768],[133,1,768],[3072,768],[3072]]",263425.92592593,569,3394104629.6296
"[[9,1,512],[1536,512],[1536]]",4378240.7407407,9457,3393750000
"[[141,1,768],[141,1,768],[3072,768],[3072]]",266666.66666667,576,3390675925.9259
"[[132,1,768],[132,1,3072],[768,3072],[768]]",268981.48148148,581,3383641666.6667
"[[149,1,768],[149,1,3072],[768,3072],[768]]",233333.33333333,504,3366827314.8148
"[[134,1,768],[134,1,768],[3072,768],[3072]]",259722.22222222,561,3363909722.2222
