name,category,pointwise unary,pointwise binary,inplace,essential,autograd,emulatable,emulation notes,undocumented,tech-debt,notes
transpose_,,,,TRUE,,,TRUE,,,,
tril,,TRUE,,,,,,,,,
tril_,,TRUE,,TRUE,,,TRUE,,,,
triu,,TRUE,,,,,,,,,
triu_,,TRUE,,TRUE,,,TRUE,,,,
trtrs,lapack,,,,,,,,,,
trunc,,TRUE,,,,,,,,,
trunc_,,TRUE,,TRUE,,,TRUE,,,,
type,,,TRUE,,,,,,,,Depends on whether we allow type as Scalar
type_as,,,TRUE,,,,,,,,
unbind,,,,,,,,,,,
unfold,,,,,,,,,,,
uniform_,pointwise unary,TRUE,,TRUE,,,,,,,Why no non-inplace version?
unique,,,,,,,,,,,
unsqueeze,,,,,,,,,,,
unsqueeze_,,,,TRUE,,,TRUE,,,,
values,,,,,,,,,,,
var,reduction,,,,,,,,,,
view,,,,,,,,,,,
view_as,,,,,,,,,,,
volatile,,,,,,,,,,,
where,pointwise ternary,,,,,,,,,,
zero_,,TRUE,,TRUE,,,TRUE,,,,why no non-inplace? i guess that's new_zero
