,m,k,n,eval_batch_size,init_batch_size,alg_id,sparse_latency (ms),dense_latency (ms),speedup (d/s)
62,768,3072,192,124,124,0,0.3667366816662252,0.49348628800362343,1.345614749420555
63,768,3072,192,128,128,1,0.40714062564074993,0.5152844008989632,1.2656177459275126
64,768,3072,288,4,4,1,0.05216935109347105,0.03569609574042261,0.684234996070134
65,768,3072,288,8,8,0,0.05285557541064918,0.05720073189586401,1.082208101065141
66,768,3072,288,12,12,0,0.057841258589178324,0.09705101698637009,1.6778856365433172
67,768,3072,288,16,16,0,0.09830589685589075,0.08929428830742836,0.9083309461926505
68,768,3072,288,20,20,0,0.10295088030397892,0.12639507302083078,1.2277221199821617
69,768,3072,288,24,24,0,0.1097629526630044,0.14961097110062838,1.363037049121354
70,768,3072,288,28,28,0,0.15021481667645276,0.176407573511824,1.1743686635905415
71,768,3072,288,32,32,2,0.15546542243100703,0.20011354913003743,1.2871900773874299
72,768,3072,288,36,36,0,0.1629306001123041,0.22377286618575454,1.3734244275262801
73,768,3072,288,40,40,2,0.2024720166809857,0.24666471360251307,1.2182657023224956
74,768,3072,288,44,44,0,0.20775370998308063,0.27282066410407424,1.3131927421478666
